timestamp,device_address,device_name,rssi,beacon_type,company_id,uuid,major,minor,tx_power,service_uuids,frame_type,raw_data
2024-11-03 17:15:42.143,A15C5626-4A95-E367-0440-E459F4956A28,Unknown,-81,,0x004C,,,,,,,
2024-11-03 17:15:42.148,9176A2C7-0BF6-D2A4-51B3-DD202233BCD2,Unknown,-59,,0x004C,,,,,,,
2024-11-03 17:15:42.149,1C6AFD70-D644-DE53-ECE9-EC0F5FDDD720,Unknown,-79,,0x0006,,,,,,,01092022827afa46b0a94d24a7e09268839ae4578d62d7ec599894
2024-11-03 17:15:42.149,1C6AFD70-D644-DE53-ECE9-EC0F5FDDD720,Unknown,-79,,0x0006,,,,,,,01092022827afa46b0a94d24a7e09268839ae4578d62d7ec599894
2024-11-03 17:15:42.150,728FB609-F915-1240-B3D6-29B9355AAB39,Unknown,-65,,0x0006,,,,,,,01092022deac479037860b17c16372e0c4543e0a6a165dcaa565f0
2024-11-03 17:15:42.150,728FB609-F915-1240-B3D6-29B9355AAB39,Unknown,-67,,0x0006,,,,,,,01092022deac479037860b17c16372e0c4543e0a6a165dcaa565f0
2024-11-03 17:15:42.151,CCB30F60-8C9F-F821-CBDE-BC2EE5014ADB,Unknown,-72,,0x004C,,,,,,,
2024-11-03 17:15:42.151,CCB30F60-8C9F-F821-CBDE-BC2EE5014ADB,Unknown,-69,,0x004C,,,,,,,
2024-11-03 17:15:42.155,38063D50-906C-1D0C-265C-335D22B09713,Unknown,-68,,0x004C,,,,,,,
2024-11-03 17:15:42.157,D445FBD5-9BB6-310E-C2D7-CA2088ABB1FB,Unknown,-87,,0x0006,,,,,,,0109212a10896f98fc384445534b544f502d4f32324344364f
2024-11-03 17:15:42.159,4BC8BAC0-2CFA-B720-FA05-B156A8CCB33E,Unknown,-49,,0x004C,,,,,,,
2024-11-03 17:15:42.170,2740A95E-E6F2-4EF1-00B6-8815370110AD,Unknown,-76,,0x0006,,,,,,,010920228319611df2a57358d40196b586d19dbfb797b834495bf7
2024-11-03 17:15:42.171,230C1AFB-76E0-9276-CB56-AB5696A3EC92,Unknown,-73,,,,,,,0000fef3-0000-1000-8000-00805f9b34fb,,
2024-11-03 17:15:42.175,3611D284-5BAA-AD95-F47E-A2C2CF7444EE,Unknown,-41,,0x0006,,,,,,,0109202209bbdac235ae3c619b5c58fbd06363975f5378e94acfb6
2024-11-03 17:15:42.394,AC2DB05C-3E6F-B3CB-CB3D-AA28393C1BAA,LE_WF-1000XM4,-80,,,,,,,0000fe03-0000-1000-8000-00805f9b34fb,,
2024-11-03 17:15:42.395,AC2DB05C-3E6F-B3CB-CB3D-AA28393C1BAA,LE_WF-1000XM4,-80,,,,,,,0000fe03-0000-1000-8000-00805f9b34fb,,
2024-11-03 17:15:42.406,D992FA6E-AB0A-98A9-1B75-87907FFAF335,Unknown,-88,,0x004C,,,,,,,
2024-11-03 17:15:42.409,F8E900B0-6196-A3CB-A2D8-B9761F364F38,Unknown,-70,,0x004C,,,,,,,
2024-11-03 17:15:42.411,C21CB63D-9B19-DF93-EE09-1EAEE7BEC56C,Unknown,-77,,0x004C,,,,,,,
2024-11-03 17:15:42.411,FAA9E6C6-F56D-EE02-0360-F72B8DD1EC2C,Unknown,-89,iBeacon,0x004C,010e202b-998f-0000-051c-5cc14d06e660,59651,1359,-3,,,0719010e202b998f0000051c5cc14d06e660e903054ffd9d3cd559
2024-11-03 17:15:42.415,6F3C9B77-3BD2-9028-8515-91E5DE756F07,LE_WH-1000XM4,-74,,,,,,,,,
2024-11-03 17:15:42.415,6F3C9B77-3BD2-9028-8515-91E5DE756F07,LE_WH-1000XM4,-74,,0x012D,,,,,00000709-0000-1000-8000-00805f9b34fb,,eb7e2b7dac800a2ced660000000000000000
2024-11-03 17:15:42.416,7D4876E0-0CF7-72A9-9C87-3A20FA35684C,Unknown,-62,iBeacon,0x004C,03181e67-6401-0000-0000-000000000000,0,32768,0,,,100503181e67640100000000000000000000000080000000
2024-11-03 17:15:42.417,7D4876E0-0CF7-72A9-9C87-3A20FA35684C,Unknown,-62,iBeacon,0x004C,03181e67-6401-0000-0000-000000000000,0,32768,0,,,100503181e67640100000000000000000000000080000000
2024-11-03 17:15:42.425,FC7933E6-9993-2FCB-8537-0FF3A568492F,Unknown,-57,,0x004C,,,,,,,
2024-11-03 17:15:42.426,CCB30F60-8C9F-F821-CBDE-BC2EE5014ADB,Unknown,-71,,0x004C,,,,,,,
2024-11-03 17:15:42.431,78A00DAD-2C70-282E-2627-2610550CAD49,Unknown,-74,iBeacon,0x004C,0124202b-328f-1100-09b4-4a6057322e6d,5608,35199,121,,,07190124202b328f110009b44a6057322e6d15e8897f793b89de79
2024-11-03 17:15:42.432,037086B8-91B2-99DB-59CD-DA2AAE0955B5,Unknown,-71,,,,,,,0000fd82-0000-1000-8000-00805f9b34fb,,
2024-11-03 17:15:42.435,94D5355C-2938-4056-5725-0E5B645CCCF3,Unknown,-77,,0x004C,,,,,,,
2024-11-03 17:15:42.447,B88C259E-E1EE-E5CD-A954-40D5008AD613,Unknown,-84,iBeacon,0x004C,0059161d-782d-4010-951f-d3ba3be21006,17181,65469,63,,,0c0e0059161d782d4010951fd3ba3be21006431dffbd3f08
2024-11-03 17:15:42.448,0FDA8059-125D-2666-E619-C5C6E34297C8,Unknown,-71,,0x004C,,,,,,,
2024-11-03 17:15:42.453,0A0167FE-237C-4E72-D88E-EA4B1FAEA2A3,Unknown,-74,,,,,,,0000fd82-0000-1000-8000-00805f9b34fb,,
2024-11-03 17:15:42.454,0A0167FE-237C-4E72-D88E-EA4B1FAEA2A3,Unknown,-71,,0x012D,,,,,0000fd82-0000-1000-8000-00805f9b34fb,,04000202b0310805ce7f31429c00020033000000
2024-11-03 17:15:42.454,0A0167FE-237C-4E72-D88E-EA4B1FAEA2A3,Unknown,-71,,0x012D,,,,,0000fd82-0000-1000-8000-00805f9b34fb,,04000202b0310805ce7f31429c00020033000000
2024-11-03 17:15:42.456,648E9045-41DD-E358-9FF3-952D485719F9,Unknown,-74,,0x004C,,,,,,,
2024-11-03 17:15:42.456,648E9045-41DD-E358-9FF3-952D485719F9,Unknown,-74,,0x004C,,,,,,,
2024-11-03 17:15:42.462,0C3D0FCF-142B-850A-18FA-EBC2E78D40B2,Unknown,-72,,0x004C,,,,,,,
2024-11-03 17:15:42.464,0C3D0FCF-142B-850A-18FA-EBC2E78D40B2,Unknown,-71,iBeacon,0x004C,621f3783-ab3a-4801-0000-000000000000,0,0,-128,,,1007621f3783ab3a480100000000000000000000000080000000
2024-11-03 17:15:42.688,828BFB1C-A9E2-4A0E-1EAB-8AB26C0ED91A,Unknown,-92,,0x004C,,,,,,,
2024-11-03 17:15:42.690,8EFFA381-6321-27B8-5F0D-F6C0B7355A3C,Unknown,-84,,0x004C,,,,,,,
2024-11-03 17:15:42.691,51BF4BEF-9155-ED9B-0DBB-64B9E197EEC2,Unknown,-54,iBeacon,0x004C,0114200b-668f-1100-0905-a675720720df,46606,14517,18,,,07190114200b668f11000905a675720720dfb60e38b5123ff2b167
2024-11-03 17:15:42.691,2740A95E-E6F2-4EF1-00B6-8815370110AD,Unknown,-72,,0x0006,,,,,,,010920228319611df2a57358d40196b586d19dbfb797b834495bf7
2024-11-03 17:15:42.708,7B079675-0F55-8DF1-D60C-9A4D923F9B86,Unknown,-68,iBeacon,0x004C,0124200b-878f-1100-05f6-bf53dbbf0c57,15186,35436,-52,,,07190124200b878f110005f6bf53dbbf0c573b528a6ccc4f3a738b
